LAT;LONG;ISO_NAME;ISO_2;Y_2000_09;Y_2001_11;Y_2004_01;Y_2004_05;Y_2005_09;Y_2005_11;Y_2008_05;Y_2008_06;Y_2008_07;Y_2008_08;Y_2008_09;Y_2008_10;Y_2008_11;Y_2008_12;Y_2009_01;Y_2009_02;Y_2009_03;Y_2009_04;Y_2009_05;Y_2009_06;Y_2009_07;Y_2009_08;Y_2009_09;Y_2009_10;Y_2009_11;Y_2009_12;Y_2010_01;Y_2010_02;Y_2010_03;Y_2010_04;Y_2010_05;Y_2010_06;Y_2010_07;Y_2010_08;Y_2010_09;Y_2010_10;Y_2010_11;Y_2010_12;Y_2011_01;Y_2011_02;Y_2011_03;Y_2011_04;Y_2011_05;Y_2011_06;Y_2011_07;Y_2011_08;Y_2011_09;Y_2011_10;Y_2011_11;Y_2011_12;Y_2012_01;Y_2012_02;Y_2012_03;Y_2012_04;Y_2012_05;Y_2012_06;Y_2012_07;Y_2012_08;Y_2012_09;Y_2012_10;Y_2012_11;Y_2012_12;Y_2013_01;Y_2013_02;Y_2013_03;Y_2013_04;Y_2013_05;Y_2013_06;LAT2010;LONG2010
7.00;21.00; Central African Republic;CF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;2;5;4;3;4;4;3;3;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;2;0;1;0;1;0;0;0;7.84;10.92
-1.00;15.00; Congo;CG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;1;0;1;2;2;4;1;3;8;4;6;28;27;16;19;8;8;6;8;15;19;21;25;46;40;48;33;17;35;-2.34;7.23
47.00;8.00; Switzerland;CH;0;0;4;0;0;0;0;0;0;1;3;0;2;0;1;2;1;1;1;2;1;291;202;969;1070;1289;1290;1256;1452;1284;1528;1229;1113;1138;1280;1435;1125;1088;1277;1531;1466;2202;2361;2259;2322;2843;4811;4001;2857;2380;3078;2764;2734;2778;2761;2641;2565;2615;2954;3358;3358;3344;3308;3176;3520;3355;3482;3456;46.63;-1.48
8.00;-5.00; Cote d'Ivoire;CI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;105;429;352;356;488;579;605;416;338;414;485;369;463;557;641;776;985;936;856;695;539;589;521;452;439;409;335;407;406;455;467;435;371;339;373;417;418;467;450;10.74;-13.80
-21.23;-159.77; Cook Islands;CK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;2;2;0;2;10;1;0;0;0;1;0;0;0;1;1;1;3;2;1;2;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;2;4;4;1;-19.85;-156.73
-30.00;-71.00; Chile;CL;0;0;0;0;0;0;0;0;0;3;0;1;2;0;1;1;1;0;1;1;1;218;186;388;461;429;363;324;494;410;391;376;355;444;438;469;351;327;338;435;568;971;847;982;1484;1553;2730;2108;1461;1125;1185;1094;1348;1429;1218;1203;1226;1178;1506;1596;1447;1341;1190;1144;1387;1382;1294;1300;-24.33;-66.20
6.00;12.00; Cameroon;CM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;3;12;8;12;19;48;66;45;16;17;22;23;62;49;141;472;312;691;722;90;64;82;78;90;81;85;81;92;104;106;111;97;96;95;95;105;107;128;129;4.16;7.74
35.00;105.00; China;CN;0;0;0;0;0;0;0;1;1;2;3;4;6;4;2;3;3;5;7;19;48;887;2324;19024;26086;24575;31436;32427;16024;36734;16893;3243;1549;3238;5944;3942;3569;3235;2014;1387;2929;2756;3318;3196;2878;2121;1367;1802;2259;4416;1564;2026;2505;4346;2527;2258;3495;3533;1697;2514;2202;2687;1829;1721;1357;315;395;382;34.48;119.12
4.00;-72.00; Colombia;CO;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;1;0;0;1;136;109;319;357;359;298;309;378;384;456;386;354;360;424;508;336;292;324;435;423;647;745;754;875;1019;1965;1577;1061;802;898;878;880;819;795;785;856;944;1080;1180;1106;929;891;955;1028;1095;1178;1130;1.39;-68.43
10.00;-84.00; Costa Rica;CR;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;4;3;2;99;64;83;82;77;72;87;103;137;126;118;108;118;118;83;83;90;104;86;135;150;149;188;228;432;399;259;195;221;204;190;190;180;199;237;236;292;308;291;285;259;234;275;258;270;268;9.96;-81.12
